id,time_observed_at,user_id,user_name,latitude,longitude,scientific_name
312125553,2024-09-28 14:37:51 UTC,9695927,GuTa,57.6756866667,22.50203,Aureoboletus projectellus
312223383,2025-09-07 16:23:42 UTC,3414719,Birutė Stukė,55.326624,21.0312799997,Aureoboletus projectellus
312270512,2025-09-06 10:47:00 UTC,2230075,"",54.3107192677,24.725015991,Aureoboletus projectellus
312439138,2025-09-08 11:10:15 UTC,8211693,Katja Osterloh,57.2918616705,17.0701410994,Aureoboletus projectellus
312498523,2025-09-08 17:50:30 UTC,739624,"",55.0497643393,25.6507747572,Aureoboletus projectellus
312755228,2025-09-05 05:37:12 UTC,2140089,Ralph Martin,58.9344364997,22.0509470997,Aureoboletus projectellus
312853795,2025-09-10 07:12:32 UTC,5988232,Miks Rieksts-Hofmanis,57.1134498181,24.6050747484,Aureoboletus projectellus
312872375,2025-09-10 10:27:52 UTC,2784116,Liva Legzdina,57.756295,22.6023366667,Aureoboletus projectellus
313388300,2025-09-11 11:56:19 UTC,2425872,"",57.6496116667,22.2555416667,Aureoboletus projectellus
313531023,2025-09-13 11:36:18 UTC,4827630,,59.0200271606,18.0370979309,Aureoboletus projectellus
313547758,2025-09-13 10:45:24 UTC,8165911,Regina Šlekaitienė,54.9271666667,23.7361883333,Aureoboletus projectellus
